node_id,label,feat
0,modCMA_conf-0,"[1, 1, 1, 1, 1, 1]"
1,modCMA_conf-1,"[1, 1, 1, 1, 1, 2]"
2,modCMA_conf-2,"[1, 1, 1, 1, 2, 1]"
3,modCMA_conf-3,"[1, 1, 1, 1, 2, 2]"
4,modCMA_conf-4,"[1, 1, 1, 1, 3, 1]"
5,modCMA_conf-5,"[1, 1, 1, 1, 3, 2]"
6,modCMA_conf-6,"[1, 1, 1, 2, 1, 1]"
7,modCMA_conf-7,"[1, 1, 1, 2, 1, 2]"
8,modCMA_conf-8,"[1, 1, 1, 2, 2, 1]"
9,modCMA_conf-9,"[1, 1, 1, 2, 2, 2]"
10,modCMA_conf-10,"[1, 1, 1, 2, 3, 1]"
11,modCMA_conf-11,"[1, 1, 1, 2, 3, 2]"
12,modCMA_conf-12,"[1, 1, 1, 3, 1, 1]"
13,modCMA_conf-13,"[1, 1, 1, 3, 1, 2]"
14,modCMA_conf-14,"[1, 1, 1, 3, 2, 1]"
15,modCMA_conf-15,"[1, 1, 1, 3, 2, 2]"
16,modCMA_conf-16,"[1, 1, 1, 3, 3, 1]"
17,modCMA_conf-17,"[1, 1, 1, 3, 3, 2]"
18,modCMA_conf-18,"[1, 1, 2, 1, 1, 1]"
19,modCMA_conf-19,"[1, 1, 2, 1, 1, 2]"
20,modCMA_conf-20,"[1, 1, 2, 1, 2, 1]"
21,modCMA_conf-21,"[1, 1, 2, 1, 2, 2]"
22,modCMA_conf-22,"[1, 1, 2, 1, 3, 1]"
23,modCMA_conf-23,"[1, 1, 2, 1, 3, 2]"
24,modCMA_conf-24,"[1, 1, 2, 2, 1, 1]"
25,modCMA_conf-25,"[1, 1, 2, 2, 1, 2]"
26,modCMA_conf-26,"[1, 1, 2, 2, 2, 1]"
27,modCMA_conf-27,"[1, 1, 2, 2, 2, 2]"
28,modCMA_conf-28,"[1, 1, 2, 2, 3, 1]"
29,modCMA_conf-29,"[1, 1, 2, 2, 3, 2]"
30,modCMA_conf-30,"[1, 1, 2, 3, 1, 1]"
31,modCMA_conf-31,"[1, 1, 2, 3, 1, 2]"
32,modCMA_conf-32,"[1, 1, 2, 3, 2, 1]"
33,modCMA_conf-33,"[1, 1, 2, 3, 2, 2]"
34,modCMA_conf-34,"[1, 1, 2, 3, 3, 1]"
35,modCMA_conf-35,"[1, 1, 2, 3, 3, 2]"
36,modCMA_conf-36,"[1, 1, 3, 1, 1, 1]"
37,modCMA_conf-37,"[1, 1, 3, 1, 1, 2]"
38,modCMA_conf-38,"[1, 1, 3, 1, 2, 1]"
39,modCMA_conf-39,"[1, 1, 3, 1, 2, 2]"
40,modCMA_conf-40,"[1, 1, 3, 1, 3, 1]"
41,modCMA_conf-41,"[1, 1, 3, 1, 3, 2]"
42,modCMA_conf-42,"[1, 1, 3, 2, 1, 1]"
43,modCMA_conf-43,"[1, 1, 3, 2, 1, 2]"
44,modCMA_conf-44,"[1, 1, 3, 2, 2, 1]"
45,modCMA_conf-45,"[1, 1, 3, 2, 2, 2]"
46,modCMA_conf-46,"[1, 1, 3, 2, 3, 1]"
47,modCMA_conf-47,"[1, 1, 3, 2, 3, 2]"
48,modCMA_conf-48,"[1, 1, 3, 3, 1, 1]"
49,modCMA_conf-49,"[1, 1, 3, 3, 1, 2]"
50,modCMA_conf-50,"[1, 1, 3, 3, 2, 1]"
51,modCMA_conf-51,"[1, 1, 3, 3, 2, 2]"
52,modCMA_conf-52,"[1, 1, 3, 3, 3, 1]"
53,modCMA_conf-53,"[1, 1, 3, 3, 3, 2]"
54,modCMA_conf-54,"[1, 2, 1, 1, 1, 1]"
55,modCMA_conf-55,"[1, 2, 1, 1, 1, 2]"
56,modCMA_conf-56,"[1, 2, 1, 1, 2, 1]"
57,modCMA_conf-57,"[1, 2, 1, 1, 2, 2]"
58,modCMA_conf-58,"[1, 2, 1, 1, 3, 1]"
59,modCMA_conf-59,"[1, 2, 1, 1, 3, 2]"
60,modCMA_conf-60,"[1, 2, 1, 2, 1, 1]"
61,modCMA_conf-61,"[1, 2, 1, 2, 1, 2]"
62,modCMA_conf-62,"[1, 2, 1, 2, 2, 1]"
63,modCMA_conf-63,"[1, 2, 1, 2, 2, 2]"
64,modCMA_conf-64,"[1, 2, 1, 2, 3, 1]"
65,modCMA_conf-65,"[1, 2, 1, 2, 3, 2]"
66,modCMA_conf-66,"[1, 2, 1, 3, 1, 1]"
67,modCMA_conf-67,"[1, 2, 1, 3, 1, 2]"
68,modCMA_conf-68,"[1, 2, 1, 3, 2, 1]"
69,modCMA_conf-69,"[1, 2, 1, 3, 2, 2]"
70,modCMA_conf-70,"[1, 2, 1, 3, 3, 1]"
71,modCMA_conf-71,"[1, 2, 1, 3, 3, 2]"
72,modCMA_conf-72,"[1, 2, 2, 1, 1, 1]"
73,modCMA_conf-73,"[1, 2, 2, 1, 1, 2]"
74,modCMA_conf-74,"[1, 2, 2, 1, 2, 1]"
75,modCMA_conf-75,"[1, 2, 2, 1, 2, 2]"
76,modCMA_conf-76,"[1, 2, 2, 1, 3, 1]"
