node_id,label,feat
0,modDE_conf-0,"[1, 1, 1, 1, 1, 1, 1]"
1,modDE_conf-1,"[1, 1, 1, 1, 1, 1, 2]"
2,modDE_conf-2,"[1, 1, 1, 1, 1, 2, 1]"
3,modDE_conf-3,"[1, 1, 1, 1, 1, 2, 2]"
4,modDE_conf-4,"[1, 1, 1, 1, 1, 3, 1]"
5,modDE_conf-5,"[1, 1, 1, 1, 1, 3, 2]"
6,modDE_conf-6,"[1, 1, 1, 1, 2, 1, 1]"
7,modDE_conf-7,"[1, 1, 1, 1, 2, 1, 2]"
8,modDE_conf-8,"[1, 1, 1, 1, 2, 2, 1]"
9,modDE_conf-9,"[1, 1, 1, 1, 2, 2, 2]"
10,modDE_conf-10,"[1, 1, 1, 1, 2, 3, 1]"
11,modDE_conf-11,"[1, 1, 1, 1, 2, 3, 2]"
12,modDE_conf-12,"[1, 1, 1, 2, 1, 1, 1]"
13,modDE_conf-13,"[1, 1, 1, 2, 1, 1, 2]"
14,modDE_conf-14,"[1, 1, 1, 2, 1, 2, 1]"
15,modDE_conf-15,"[1, 1, 1, 2, 1, 2, 2]"
16,modDE_conf-16,"[1, 1, 1, 2, 1, 3, 1]"
17,modDE_conf-17,"[1, 1, 1, 2, 1, 3, 2]"
18,modDE_conf-18,"[1, 1, 1, 2, 2, 1, 1]"
19,modDE_conf-19,"[1, 1, 1, 2, 2, 1, 2]"
20,modDE_conf-20,"[1, 1, 1, 2, 2, 2, 1]"
21,modDE_conf-21,"[1, 1, 1, 2, 2, 2, 2]"
22,modDE_conf-22,"[1, 1, 1, 2, 2, 3, 1]"
23,modDE_conf-23,"[1, 1, 1, 2, 2, 3, 2]"
24,modDE_conf-24,"[1, 1, 2, 1, 1, 1, 1]"
25,modDE_conf-25,"[1, 1, 2, 1, 1, 1, 2]"
26,modDE_conf-26,"[1, 1, 2, 1, 1, 2, 1]"
27,modDE_conf-27,"[1, 1, 2, 1, 1, 2, 2]"
28,modDE_conf-28,"[1, 1, 2, 1, 1, 3, 1]"
29,modDE_conf-29,"[1, 1, 2, 1, 1, 3, 2]"
30,modDE_conf-30,"[1, 1, 2, 1, 2, 1, 1]"
31,modDE_conf-31,"[1, 1, 2, 1, 2, 1, 2]"
32,modDE_conf-32,"[1, 1, 2, 1, 2, 2, 1]"
33,modDE_conf-33,"[1, 1, 2, 1, 2, 2, 2]"
34,modDE_conf-34,"[1, 1, 2, 1, 2, 3, 1]"
35,modDE_conf-35,"[1, 1, 2, 1, 2, 3, 2]"
36,modDE_conf-36,"[1, 1, 2, 2, 1, 1, 1]"
37,modDE_conf-37,"[1, 1, 2, 2, 1, 1, 2]"
38,modDE_conf-38,"[1, 1, 2, 2, 1, 2, 1]"
39,modDE_conf-39,"[1, 1, 2, 2, 1, 2, 2]"
40,modDE_conf-40,"[1, 1, 2, 2, 1, 3, 1]"
41,modDE_conf-41,"[1, 1, 2, 2, 1, 3, 2]"
42,modDE_conf-42,"[1, 1, 2, 2, 2, 1, 1]"
43,modDE_conf-43,"[1, 1, 2, 2, 2, 1, 2]"
44,modDE_conf-44,"[1, 1, 2, 2, 2, 2, 1]"
45,modDE_conf-45,"[1, 1, 2, 2, 2, 2, 2]"
46,modDE_conf-46,"[1, 1, 2, 2, 2, 3, 1]"
47,modDE_conf-47,"[1, 1, 2, 2, 2, 3, 2]"
48,modDE_conf-48,"[1, 2, 1, 1, 1, 1, 1]"
49,modDE_conf-49,"[1, 2, 1, 1, 1, 1, 2]"
50,modDE_conf-50,"[1, 2, 1, 1, 1, 2, 1]"
51,modDE_conf-51,"[1, 2, 1, 1, 1, 2, 2]"
52,modDE_conf-52,"[1, 2, 1, 1, 1, 3, 1]"
53,modDE_conf-53,"[1, 2, 1, 1, 1, 3, 2]"
54,modDE_conf-54,"[1, 2, 1, 1, 2, 1, 1]"
55,modDE_conf-55,"[1, 2, 1, 1, 2, 1, 2]"
56,modDE_conf-56,"[1, 2, 1, 1, 2, 2, 1]"
57,modDE_conf-57,"[1, 2, 1, 1, 2, 2, 2]"
58,modDE_conf-58,"[1, 2, 1, 1, 2, 3, 1]"
59,modDE_conf-59,"[1, 2, 1, 1, 2, 3, 2]"
60,modDE_conf-60,"[1, 2, 1, 2, 1, 1, 1]"
61,modDE_conf-61,"[1, 2, 1, 2, 1, 1, 2]"
62,modDE_conf-62,"[1, 2, 1, 2, 1, 2, 1]"
63,modDE_conf-63,"[1, 2, 1, 2, 1, 2, 2]"
64,modDE_conf-64,"[1, 2, 1, 2, 1, 3, 1]"
65,modDE_conf-65,"[1, 2, 1, 2, 1, 3, 2]"
66,modDE_conf-66,"[1, 2, 1, 2, 2, 1, 1]"
67,modDE_conf-67,"[1, 2, 1, 2, 2, 1, 2]"
68,modDE_conf-68,"[1, 2, 1, 2, 2, 2, 1]"
69,modDE_conf-69,"[1, 2, 1, 2, 2, 2, 2]"
70,modDE_conf-70,"[1, 2, 1, 2, 2, 3, 1]"
71,modDE_conf-71,"[1, 2, 1, 2, 2, 3, 2]"
72,modDE_conf-72,"[1, 2, 2, 1, 1, 1, 1]"
73,modDE_conf-73,"[1, 2, 2, 1, 1, 1, 2]"
74,modDE_conf-74,"[1, 2, 2, 1, 1, 2, 1]"
75,modDE_conf-75,"[1, 2, 2, 1, 1, 2, 2]"
76,modDE_conf-76,"[1, 2, 2, 1, 1, 3, 1]"
77,modDE_conf-77,"[1, 2, 2, 1, 1, 3, 2]"
78,modDE_conf-78,"[1, 2, 2, 1, 2, 1, 1]"
79,modDE_conf-79,"[1, 2, 2, 1, 2, 1, 2]"
80,modDE_conf-80,"[1, 2, 2, 1, 2, 2, 1]"
81,modDE_conf-81,"[1, 2, 2, 1, 2, 2, 2]"
82,modDE_conf-82,"[1, 2, 2, 1, 2, 3, 1]"
83,modDE_conf-83,"[1, 2, 2, 1, 2, 3, 2]"
84,modDE_conf-84,"[1, 2, 2, 2, 1, 1, 1]"
85,modDE_conf-85,"[1, 2, 2, 2, 1, 1, 2]"
86,modDE_conf-86,"[1, 2, 2, 2, 1, 2, 1]"
87,modDE_conf-87,"[1, 2, 2, 2, 1, 2, 2]"
88,modDE_conf-88,"[1, 2, 2, 2, 1, 3, 1]"
89,modDE_conf-89,"[1, 2, 2, 2, 1, 3, 2]"
90,modDE_conf-90,"[1, 2, 2, 2, 2, 1, 1]"
91,modDE_conf-91,"[1, 2, 2, 2, 2, 1, 2]"
92,modDE_conf-92,"[1, 2, 2, 2, 2, 2, 1]"
93,modDE_conf-93,"[1, 2, 2, 2, 2, 2, 2]"
94,modDE_conf-94,"[1, 2, 2, 2, 2, 3, 1]"
95,modDE_conf-95,"[1, 2, 2, 2, 2, 3, 2]"
96,modDE_conf-96,"[1, 3, 1, 1, 1, 1, 1]"
97,modDE_conf-97,"[1, 3, 1, 1, 1, 1, 2]"
98,modDE_conf-98,"[1, 3, 1, 1, 1, 2, 1]"
99,modDE_conf-99,"[1, 3, 1, 1, 1, 2, 2]"
100,modDE_conf-100,"[1, 3, 1, 1, 1, 3, 1]"
101,modDE_conf-101,"[1, 3, 1, 1, 1, 3, 2]"
102,modDE_conf-102,"[1, 3, 1, 1, 2, 1, 1]"
103,modDE_conf-103,"[1, 3, 1, 1, 2, 1, 2]"
104,modDE_conf-104,"[1, 3, 1, 1, 2, 2, 1]"
105,modDE_conf-105,"[1, 3, 1, 1, 2, 2, 2]"
106,modDE_conf-106,"[1, 3, 1, 1, 2, 3, 1]"
107,modDE_conf-107,"[1, 3, 1, 1, 2, 3, 2]"
108,modDE_conf-108,"[1, 3, 1, 2, 1, 1, 1]"
109,modDE_conf-109,"[1, 3, 1, 2, 1, 1, 2]"
110,modDE_conf-110,"[1, 3, 1, 2, 1, 2, 1]"
111,modDE_conf-111,"[1, 3, 1, 2, 1, 2, 2]"
112,modDE_conf-112,"[1, 3, 1, 2, 1, 3, 1]"
113,modDE_conf-113,"[1, 3, 1, 2, 1, 3, 2]"
114,modDE_conf-114,"[1, 3, 1, 2, 2, 1, 1]"
115,modDE_conf-115,"[1, 3, 1, 2, 2, 1, 2]"
116,modDE_conf-116,"[1, 3, 1, 2, 2, 2, 1]"
117,modDE_conf-117,"[1, 3, 1, 2, 2, 2, 2]"
118,modDE_conf-118,"[1, 3, 1, 2, 2, 3, 1]"
119,modDE_conf-119,"[1, 3, 1, 2, 2, 3, 2]"
120,modDE_conf-120,"[1, 3, 2, 1, 1, 1, 1]"
121,modDE_conf-121,"[1, 3, 2, 1, 1, 1, 2]"
122,modDE_conf-122,"[1, 3, 2, 1, 1, 2, 1]"
123,modDE_conf-123,"[1, 3, 2, 1, 1, 2, 2]"
124,modDE_conf-124,"[1, 3, 2, 1, 1, 3, 1]"
125,modDE_conf-125,"[1, 3, 2, 1, 1, 3, 2]"
126,modDE_conf-126,"[1, 3, 2, 1, 2, 1, 1]"
127,modDE_conf-127,"[1, 3, 2, 1, 2, 1, 2]"
128,modDE_conf-128,"[1, 3, 2, 1, 2, 2, 1]"
129,modDE_conf-129,"[1, 3, 2, 1, 2, 2, 2]"
130,modDE_conf-130,"[1, 3, 2, 1, 2, 3, 1]"
131,modDE_conf-131,"[1, 3, 2, 1, 2, 3, 2]"
132,modDE_conf-132,"[1, 3, 2, 2, 1, 1, 1]"
133,modDE_conf-133,"[1, 3, 2, 2, 1, 1, 2]"
134,modDE_conf-134,"[1, 3, 2, 2, 1, 2, 1]"
135,modDE_conf-135,"[1, 3, 2, 2, 1, 2, 2]"
136,modDE_conf-136,"[1, 3, 2, 2, 1, 3, 1]"
137,modDE_conf-137,"[1, 3, 2, 2, 1, 3, 2]"
138,modDE_conf-138,"[1, 3, 2, 2, 2, 1, 1]"
139,modDE_conf-139,"[1, 3, 2, 2, 2, 1, 2]"
140,modDE_conf-140,"[1, 3, 2, 2, 2, 2, 1]"
141,modDE_conf-141,"[1, 3, 2, 2, 2, 2, 2]"
142,modDE_conf-142,"[1, 3, 2, 2, 2, 3, 1]"
143,modDE_conf-143,"[1, 3, 2, 2, 2, 3, 2]"
144,modDE_conf-144,"[1, 4, 1, 1, 1, 1, 1]"
145,modDE_conf-145,"[1, 4, 1, 1, 1, 1, 2]"
146,modDE_conf-146,"[1, 4, 1, 1, 1, 2, 1]"
147,modDE_conf-147,"[1, 4, 1, 1, 1, 2, 2]"
148,modDE_conf-148,"[1, 4, 1, 1, 1, 3, 1]"
149,modDE_conf-149,"[1, 4, 1, 1, 1, 3, 2]"
150,modDE_conf-150,"[1, 4, 1, 1, 2, 1, 1]"
151,modDE_conf-151,"[1, 4, 1, 1, 2, 1, 2]"
152,modDE_conf-152,"[1, 4, 1, 1, 2, 2, 1]"
153,modDE_conf-153,"[1, 4, 1, 1, 2, 2, 2]"
154,modDE_conf-154,"[1, 4, 1, 1, 2, 3, 1]"
155,modDE_conf-155,"[1, 4, 1, 1, 2, 3, 2]"
156,modDE_conf-156,"[1, 4, 1, 2, 1, 1, 1]"
157,modDE_conf-157,"[1, 4, 1, 2, 1, 1, 2]"
158,modDE_conf-158,"[1, 4, 1, 2, 1, 2, 1]"
159,modDE_conf-159,"[1, 4, 1, 2, 1, 2, 2]"
160,modDE_conf-160,"[1, 4, 1, 2, 1, 3, 1]"
161,modDE_conf-161,"[1, 4, 1, 2, 1, 3, 2]"
162,modDE_conf-162,"[1, 4, 1, 2, 2, 1, 1]"
163,modDE_conf-163,"[1, 4, 1, 2, 2, 1, 2]"
164,modDE_conf-164,"[1, 4, 1, 2, 2, 2, 1]"
165,modDE_conf-165,"[1, 4, 1, 2, 2, 2, 2]"
166,modDE_conf-166,"[1, 4, 1, 2, 2, 3, 1]"
167,modDE_conf-167,"[1, 4, 1, 2, 2, 3, 2]"
168,modDE_conf-168,"[1, 4, 2, 1, 1, 1, 1]"
169,modDE_conf-169,"[1, 4, 2, 1, 1, 1, 2]"
170,modDE_conf-170,"[1, 4, 2, 1, 1, 2, 1]"
171,modDE_conf-171,"[1, 4, 2, 1, 1, 2, 2]"
172,modDE_conf-172,"[1, 4, 2, 1, 1, 3, 1]"
173,modDE_conf-173,"[1, 4, 2, 1, 1, 3, 2]"
174,modDE_conf-174,"[1, 4, 2, 1, 2, 1, 1]"
175,modDE_conf-175,"[1, 4, 2, 1, 2, 1, 2]"
176,modDE_conf-176,"[1, 4, 2, 1, 2, 2, 1]"
177,modDE_conf-177,"[1, 4, 2, 1, 2, 2, 2]"
178,modDE_conf-178,"[1, 4, 2, 1, 2, 3, 1]"
179,modDE_conf-179,"[1, 4, 2, 1, 2, 3, 2]"
180,modDE_conf-180,"[1, 4, 2, 2, 1, 1, 1]"
181,modDE_conf-181,"[1, 4, 2, 2, 1, 1, 2]"
182,modDE_conf-182,"[1, 4, 2, 2, 1, 2, 1]"
183,modDE_conf-183,"[1, 4, 2, 2, 1, 2, 2]"
184,modDE_conf-184,"[1, 4, 2, 2, 1, 3, 1]"
185,modDE_conf-185,"[1, 4, 2, 2, 1, 3, 2]"
186,modDE_conf-186,"[1, 4, 2, 2, 2, 1, 1]"
187,modDE_conf-187,"[1, 4, 2, 2, 2, 1, 2]"
188,modDE_conf-188,"[1, 4, 2, 2, 2, 2, 1]"
189,modDE_conf-189,"[1, 4, 2, 2, 2, 2, 2]"
190,modDE_conf-190,"[1, 4, 2, 2, 2, 3, 1]"
191,modDE_conf-191,"[1, 4, 2, 2, 2, 3, 2]"
192,modDE_conf-192,"[2, 1, 1, 1, 1, 1, 1]"
193,modDE_conf-193,"[2, 1, 1, 1, 1, 1, 2]"
194,modDE_conf-194,"[2, 1, 1, 1, 1, 2, 1]"
195,modDE_conf-195,"[2, 1, 1, 1, 1, 2, 2]"
196,modDE_conf-196,"[2, 1, 1, 1, 1, 3, 1]"
197,modDE_conf-197,"[2, 1, 1, 1, 1, 3, 2]"
198,modDE_conf-198,"[2, 1, 1, 1, 2, 1, 1]"
199,modDE_conf-199,"[2, 1, 1, 1, 2, 1, 2]"
200,modDE_conf-200,"[2, 1, 1, 1, 2, 2, 1]"
201,modDE_conf-201,"[2, 1, 1, 1, 2, 2, 2]"
202,modDE_conf-202,"[2, 1, 1, 1, 2, 3, 1]"
203,modDE_conf-203,"[2, 1, 1, 1, 2, 3, 2]"
204,modDE_conf-204,"[2, 1, 1, 2, 1, 1, 1]"
205,modDE_conf-205,"[2, 1, 1, 2, 1, 1, 2]"
206,modDE_conf-206,"[2, 1, 1, 2, 1, 2, 1]"
207,modDE_conf-207,"[2, 1, 1, 2, 1, 2, 2]"
208,modDE_conf-208,"[2, 1, 1, 2, 1, 3, 1]"
209,modDE_conf-209,"[2, 1, 1, 2, 1, 3, 2]"
210,modDE_conf-210,"[2, 1, 1, 2, 2, 1, 1]"
211,modDE_conf-211,"[2, 1, 1, 2, 2, 1, 2]"
212,modDE_conf-212,"[2, 1, 1, 2, 2, 2, 1]"
213,modDE_conf-213,"[2, 1, 1, 2, 2, 2, 2]"
214,modDE_conf-214,"[2, 1, 1, 2, 2, 3, 1]"
215,modDE_conf-215,"[2, 1, 1, 2, 2, 3, 2]"
216,modDE_conf-216,"[2, 1, 2, 1, 1, 1, 1]"
217,modDE_conf-217,"[2, 1, 2, 1, 1, 1, 2]"
218,modDE_conf-218,"[2, 1, 2, 1, 1, 2, 1]"
219,modDE_conf-219,"[2, 1, 2, 1, 1, 2, 2]"
220,modDE_conf-220,"[2, 1, 2, 1, 1, 3, 1]"
221,modDE_conf-221,"[2, 1, 2, 1, 1, 3, 2]"
222,modDE_conf-222,"[2, 1, 2, 1, 2, 1, 1]"
223,modDE_conf-223,"[2, 1, 2, 1, 2, 1, 2]"
224,modDE_conf-224,"[2, 1, 2, 1, 2, 2, 1]"
225,modDE_conf-225,"[2, 1, 2, 1, 2, 2, 2]"
