,target
1_1,-5.170651191557843
1_2,-4.904044746384125
1_3,-5.020444796819998
1_4,-5.075849987486298
1_5,-5.121018876606263
2_1,2.4297255843407894
2_2,2.548740146300395
2_3,2.914206589115982
2_4,2.331499734238836
2_5,2.659421710077145
3_1,0.9624819624759333
3_2,0.9843687469163146
3_3,0.8715045007310382
3_4,0.8997073556997405
3_5,0.9908060605028121
4_1,1.0894581787369733
4_2,1.1605896207327546
4_3,1.1496836865239768
4_4,1.0078336012781155
4_5,1.137037770810699
5_1,-8.0
5_2,-8.0
5_3,-8.0
5_4,-8.0
5_5,0.10726370916230743
6_1,-0.7725306434127603
6_2,-0.7102942714959622
6_3,-0.6870113464807381
6_4,-0.760459205679004
6_5,-0.7659948463947379
7_1,-0.5319294464094689
7_2,-0.22700786067793252
7_3,0.1669307822402271
7_4,-0.290260284329609
7_5,-0.14591001549153435
8_1,0.4138154205587248
8_2,0.43642340436299243
8_3,0.33139214733215294
8_4,0.4493328389051696
8_5,0.47238874481716775
9_1,0.39871383689105866
9_2,0.4068836079256367
9_3,0.37819447619652014
9_4,0.2344725854264667
9_5,0.3824421032027147
10_1,2.8697132711708853
10_2,2.55558181822969
10_3,2.2054671886518333
10_4,2.9018976297248478
10_5,2.6636967001248157
11_1,1.2728771231657943
11_2,1.658099763008973
11_3,1.5111417080716114
11_4,1.7713531852395747
11_5,1.427882858881408
12_1,1.4875344049666472
12_2,1.0880015044837121
12_3,1.3090594667410504
12_4,1.1549206357478283
12_5,1.1323419471960998
13_1,0.4457856689908022
13_2,0.5306838116155441
13_3,0.44370951154077487
13_4,0.6325610918112664
13_5,0.6065010769230054
14_1,-2.793603046402564
14_2,-2.6725655458150714
14_3,-2.7005791547714573
14_4,-2.719808569871386
14_5,-2.572913386944335
15_1,0.7594515246009397
15_2,0.744468126811473
15_3,0.8758579535777717
15_4,1.1019121427599867
15_5,0.9184551856284803
16_1,0.08314449733856842
16_2,0.12593338281112457
16_3,0.3844189146518797
16_4,0.5264115596585209
16_5,0.5602428122589135
17_1,-1.3807598280214184
17_2,-1.3650102192544615
17_3,-0.612946627742916
17_4,-1.4680045064231968
17_5,-1.8096980408123073
18_1,-0.7238266315280011
18_2,-0.6831028198100443
18_3,-0.21951272036606057
18_4,-0.49580063961749
18_5,-0.5786982623774056
19_1,0.2183147359310948
19_2,0.09956234709016902
19_3,0.08713782046920848
19_4,0.09972766587196896
19_5,0.12082054616271742
20_1,0.2951369456941085
20_2,0.27510439436295375
20_3,0.27110221859538947
20_4,0.18632661005270826
20_5,0.28379779614578904
21_1,0.0952635151207235
21_2,0.2873280343792579
21_3,0.2790734050744915
21_4,0.27223941147475494
21_5,0.2720536791651676
22_1,-1.9211577535426343
22_2,0.29115069939879046
22_3,0.9416490597978672
22_4,0.6931855180131348
22_5,0.12182166789823957
23_1,0.4316962544539095
23_2,0.27056501798358346
23_3,0.3322955443883792
23_4,0.2889622538981925
23_5,0.4046548476415332
24_1,1.217137314812462
24_2,1.2200832039748366
24_3,1.2106879489750209
24_4,1.2564165759304136
24_5,1.2634517980504025
