,target
1_1,-8.0
1_2,-8.0
1_3,-8.0
1_4,-8.0
1_5,-8.0
2_1,-8.0
2_2,-8.0
2_3,-8.0
2_4,-8.0
2_5,-8.0
3_1,-8.0
3_2,-8.0
3_3,-8.0
3_4,-0.3032247859146284
3_5,-8.0
4_1,0.5418732540996284
4_2,0.29883520541333397
4_3,0.29883520541333397
4_4,0.3957452184213904
4_5,0.3957452184213904
5_1,-8.0
5_2,-8.0
5_3,-8.0
5_4,-8.0
5_5,-8.0
6_1,1.5924830478317857
6_2,1.5733089932202304
6_3,1.9227327832745742
6_4,1.6491027108836576
6_5,1.595385281792371
7_1,1.6241344772882005
7_2,1.6588856554680171
7_3,1.708295309775362
7_4,1.578904147773686
7_5,1.667911920244068
8_1,1.3822313971122837
8_2,1.3696177706946544
8_3,1.3691468986527953
8_4,1.373061685406248
8_5,1.347011181214913
9_1,1.4410122726597638
9_2,1.4516400798386522
9_3,1.434412340776088
9_4,1.4479255045386972
9_5,1.4440992092039315
10_1,5.017647474097198
10_2,5.012928496535025
10_3,5.018412647375721
10_4,5.0404807759518935
10_5,4.951951465185898
11_1,2.3578607170872834
11_2,2.3630586201987076
11_3,2.3605217968602825
11_4,2.3479638255015822
11_5,2.3697118882434016
12_1,2.5333083499559166
12_2,2.4907301283478955
12_3,2.5525350777266747
12_4,1.7369451283807442
12_5,2.0791589501697136
13_1,0.6468415662860135
13_2,0.6844449176830869
13_3,0.7638995918871567
13_4,0.9766618065363698
13_5,1.1945564624889975
14_1,-1.989485752400805
14_2,-1.935343628438519
14_3,-1.9554333086972553
14_4,-2.068732004286342
14_5,-2.003647305655773
15_1,2.31717280806064
15_2,2.358482143857688
15_3,2.3622063025501503
15_4,2.326385298210228
15_5,2.3327559146255625
16_1,1.1756049633011016
16_2,1.1099925163881406
16_3,1.0775168261345287
16_4,1.159658271834309
16_5,1.11723308403183
17_1,0.727235947232264
17_2,0.693220566147935
17_3,0.71815610764914
17_4,0.7458360693280669
17_5,0.6003507130272695
18_1,1.2740884072562615
18_2,1.2317876840425064
18_3,1.2469835391432689
18_4,1.3103274380723797
18_5,1.1614517377622362
19_1,0.8186549339290621
19_2,0.8056159233837678
19_3,0.7895795455111054
19_4,0.820211573343917
19_5,0.8091661851890419
20_1,-0.9326809746414751
20_2,-1.5803430117932493
20_3,-1.1720034201426246
20_4,-0.9446632738118318
20_5,-1.0640869395915686
21_1,0.14797775736101168
21_2,0.30578283302596343
21_3,0.09044044036028899
21_4,-0.07238047239134339
21_5,-0.022014946269835193
22_1,0.2998415330701311
22_2,0.29624208052756146
22_3,-0.09246128247370043
22_4,0.13428403156939758
22_5,0.1823138771900471
23_1,0.37836342978156506
23_2,0.4045762748227234
23_3,0.3879587282006095
23_4,0.3517895158054559
23_5,0.41826390218522086
24_1,2.411765005911602
24_2,2.4280645000028382
24_3,2.4339704109725324
24_4,2.428400707793893
24_5,2.4242981849732144
